product_id,product_name,local_path,source_url,source_title,source_domain,search_query,score,sha256
1,Verona Satin Midi Dress,/uploads/products/001-verona-satin-midi-dress.jpg,https://img.tobi.com/product_images/lg/2/off-white-pia-satin-midi-dress@2x.jpg?,Verona Satin Midi Dress legacy mapped product image,img.tobi.com,legacy,33,85434f4628cd72a1d9ff00a57e3fecad370d3734d30b8eeb21a2861e771c3be0
2,Alder Trench Coat,/uploads/products/002-alder-trench-coat.jpg,https://m.media-amazon.com/images/I/51Mnx4SpfUL.jpg,Alder Trench Coat,,Trench Coat outerwear product image,45,
3,Harper Leather Crossbody,/uploads/products/003-harper-leather-crossbody.jpg,https://omybagamsterdam.com/cdn/shop/products/Harper-Cognac-Classic-Leather-Back.jpg?v=1711552221&width=1920,Harper Leather Crossbody legacy mapped product image,omybagamsterdam.com,legacy,25,361759a9277ace3b1f9fcafb92f94050aded372a86ad40e17459656dbb639189
4,Luna Pearl Drop Set,/uploads/products/004-luna-pearl-drop-set.jpg,https://petitesecretjewellery.com/cdn/shop/files/LunaPearlDropEarrings-silver.jpg?v=1742009800&width=990,Luna Pearl Drop Set legacy mapped product image,petitesecretjewellery.com,legacy,25,f0266bbcbbe68d39fe0315acd76f7c2c5b3e9d0a41400628db5d20f8aaa0d5b6
5,Marais Wool Wrap Coat,/uploads/products/005-marais-wool-wrap-coat.jpg,https://cdn.shopify.com/s/files/1/0572/8605/products/HOO-ANS-BLK-464_675ca40b-d442-4381-a5ef-4e595f5dc3dc.progressive.jpg?v=1667236037,Marais Wool Wrap Coat,,Wool Wrap Coat outerwear product image,53,
6,Solene Silk Halter Dress,/uploads/products/006-solene-silk-halter-dress.jpg,https://www.fashionacy.com/wp-content/uploads/2023/11/white-silk-halter-dress.jpg,Solene Silk Halter Dress legacy mapped product image,www.fashionacy.com,legacy,33,6a3434bed7defc00c204fcb130dbafe18224be8a40186ad6295e8dc053d1d3fd
7,Portofino Leather Tote,/uploads/products/007-portofino-leather-tote.jpg,https://cdn11.bigcommerce.com/s-uiywfsyvbe/images/stencil/1280x1280/products/387/10527/10527__64514.1719596102.jpg?c=1,Portofino Leather Tote,,Leather Tote bags product image,45,
8,Atelier Signet Ring Stack,/uploads/products/008-atelier-signet-ring-stack.jpg,https://cdn11.bigcommerce.com/s-9ce68/images/stencil/1280x1280/products/3309/10831/download_1__44993.1660381940.png?c=2,Atelier Signet Ring Stack,,Signet Ring Stack jewelry product image,53,
9,Riviera Pleated Evening Dress,/uploads/products/009-riviera-pleated-evening-dress.jpg,https://img.myshopline.com/image/store/1695970754941/391e425b4m70a0ad0cb1f6e82c943df5.jpeg?w=864&h=864,Riviera Pleated Evening Dress legacy mapped product image,img.myshopline.com,legacy,33,5eb00a93c501485a5df775ea05215ea38bdfbea27aedbddafa2b9785a3b9f9d8
10,Camden Cropped Blazer,/uploads/products/010-camden-cropped-blazer.jpg,https://assets.superbalistcdn.co.za/filters:quality(75):format(jpg)/2032651/original.jpg,Camden Cropped Blazer legacy mapped product image,assets.superbalistcdn.co.za,legacy,25,c6d5167123fb534aeebe12088d91d5187c70cc88b3d5ca9b4616fc875ee62e2e
